"","YEAR","MONTH","LOCATION","MEAN_24HOUR","SEASON"
"25",2012,2,"Phillip Island Rd Path, Bass Coast Shire",63.3703703703704,"Summer"
"26",2009,10,"Anniversary Trail No.2 Kew",64,"Spring"
"27",2011,11,"Federation Trail, Hobsons Bay",65.1379310344828,"Spring"
"28",2011,12,"Federation Trail, Hobsons Bay",66.0322580645161,"Summer"
"29",2011,10,"Federation Trail, Hobsons Bay",66.3,"Spring"
"30",2012,4,"Federation Trail, Hobsons Bay",67.3448275862069,"Autumn"
"31",2012,3,"Federation Trail, Hobsons Bay",68.4,"Autumn"
"32",2012,12,"Federation Trail, Hobsons Bay",69.6774193548387,"Summer"
"33",2012,10,"Federation Trail, Hobsons Bay",75.1724137931034,"Spring"
"34",2011,12,"Phillip Island Rd Path, Bass Coast Shire",76.4516129032258,"Summer"
"35",2012,11,"Federation Trail, Hobsons Bay",78.0344827586207,"Spring"
"36",2012,1,"Federation Trail, Hobsons Bay",79.7096774193548,"Summer"
"37",2012,2,"Federation Trail, Hobsons Bay",80.2413793103448,"Summer"
"38",2007,7,"Anniversary Trail No.2 Kew",85.6774193548387,"Winter"
"39",2011,7,"Anniversary Trail No.2 Kew",89.8064516129032,"Winter"
"40",2008,7,"Anniversary Trail No.2 Kew",90,"Winter"
"41",2007,6,"Anniversary Trail No.2 Kew",90.3448275862069,"Winter"
"42",2012,7,"Anniversary Trail No.2 Kew",90.7741935483871,"Winter"
"43",2012,6,"Anniversary Trail No.2 Kew",90.9259259259259,"Winter"
"44",2010,8,"Anniversary Trail No.2 Kew",90.9333333333333,"Winter"
"45",2010,9,"Anniversary Trail No.2 Kew",91,"Spring"
"46",2011,5,"Anniversary Trail No.2 Kew",91.7096774193548,"Autumn"
"47",2010,6,"Anniversary Trail No.2 Kew",93,"Winter"
"48",2012,12,"Phillip Island Rd Path, Bass Coast Shire",93.1612903225806,"Summer"
"49",2006,9,"Anniversary Trail No.2 Kew",94.1111111111111,"Spring"
"50",2008,8,"Anniversary Trail No.2 Kew",95.6129032258064,"Winter"
"51",2012,8,"Anniversary Trail No.2 Kew",95.6153846153846,"Winter"
"52",2010,7,"Anniversary Trail No.2 Kew",97.1290322580645,"Winter"
"53",2009,6,"Anniversary Trail No.2 Kew",97.3103448275862,"Winter"
"54",2013,1,"Federation Trail, Hobsons Bay",98.0476190476191,"Summer"
"55",2007,5,"Anniversary Trail No.2 Kew",98.1612903225806,"Autumn"
"56",2008,6,"Anniversary Trail No.2 Kew",99,"Winter"
"57",2011,6,"Anniversary Trail No.2 Kew",99.1034482758621,"Winter"
"58",2006,12,"Anniversary Trail No.2 Kew",99.5161290322581,"Summer"
"59",2007,8,"Anniversary Trail No.2 Kew",100.433333333333,"Winter"
"60",2010,12,"Anniversary Trail No.2 Kew",100.966666666667,"Summer"
"61",2009,7,"Anniversary Trail No.2 Kew",101.677419354839,"Winter"
"62",2007,12,"Anniversary Trail No.2 Kew",102.387096774194,"Summer"
"63",2006,11,"Anniversary Trail No.2 Kew",102.966666666667,"Spring"
"64",2008,5,"Anniversary Trail No.2 Kew",105.225806451613,"Autumn"
"65",2007,1,"Anniversary Trail No.2 Kew",105.433333333333,"Summer"
"66",2009,9,"Anniversary Trail No.2 Kew",105.966666666667,"Spring"
"67",2010,5,"Anniversary Trail No.2 Kew",106.4,"Autumn"
"68",2009,8,"Anniversary Trail No.2 Kew",108.7,"Winter"
"69",2011,7,"Scotchmans Creek Trail",110.935483870968,"Winter"
"70",2012,5,"Anniversary Trail No.2 Kew",111.586206896552,"Autumn"
"71",2011,4,"Anniversary Trail No.2 Kew",111.703703703704,"Autumn"
"72",2007,9,"Anniversary Trail No.2 Kew",112.466666666667,"Spring"
"73",2011,9,"Anniversary Trail No.2 Kew",112.533333333333,"Spring"
"74",2012,9,"Anniversary Trail No.2 Kew",112.866666666667,"Spring"
"75",2012,1,"Anniversary Trail No.2 Kew",113.935483870968,"Summer"
"76",2012,12,"Anniversary Trail No.2 Kew",115.2,"Summer"
"77",2008,7,"Scotchmans Creek Trail",115.466666666667,"Winter"
"78",2011,1,"Anniversary Trail No.2 Kew",115.645161290323,"Summer"
"79",2010,10,"Anniversary Trail No.2 Kew",115.666666666667,"Spring"
"80",2008,12,"Anniversary Trail No.2 Kew",116.3,"Summer"
"81",2011,10,"Anniversary Trail No.2 Kew",117.2,"Spring"
"82",2009,6,"Scotchmans Creek Trail",117.896551724138,"Winter"
"83",2009,7,"Scotchmans Creek Trail",117.903225806452,"Winter"
"84",2010,11,"Anniversary Trail No.2 Kew",117.933333333333,"Spring"
"85",2011,5,"Scotchmans Creek Trail",117.935483870968,"Autumn"
"86",2007,2,"Anniversary Trail No.2 Kew",118.142857142857,"Summer"
"87",2006,10,"Anniversary Trail No.2 Kew",118.8,"Spring"
"88",2011,12,"Anniversary Trail No.2 Kew",119.133333333333,"Summer"
"89",2007,3,"Anniversary Trail No.2 Kew",120.333333333333,"Autumn"
"90",2007,4,"Anniversary Trail No.2 Kew",120.933333333333,"Autumn"
"91",2008,9,"Anniversary Trail No.2 Kew",121.48275862069,"Spring"
"92",2008,1,"Anniversary Trail No.2 Kew",122.387096774194,"Summer"
"93",2012,4,"Anniversary Trail No.2 Kew",122.5,"Autumn"
"94",2012,1,"Phillip Island Rd Path, Bass Coast Shire",122.678571428571,"Summer"
"95",2008,3,"Anniversary Trail No.2 Kew",123,"Autumn"
"96",2009,5,"Anniversary Trail No.2 Kew",123.096774193548,"Autumn"
"97",2009,4,"Anniversary Trail No.2 Kew",123.538461538462,"Autumn"
"98",2011,8,"Anniversary Trail No.2 Kew",124.933333333333,"Winter"
"99",2007,11,"Anniversary Trail No.2 Kew",126.533333333333,"Spring"
"100",2008,8,"Scotchmans Creek Trail",126.709677419355,"Winter"
"101",2012,7,"Scotchmans Creek Trail",127.258064516129,"Winter"
"102",2008,2,"Scotchmans Creek Trail",127.416666666667,"Summer"
"103",2010,8,"Scotchmans Creek Trail",128,"Winter"
"104",2008,4,"Anniversary Trail No.2 Kew",128.148148148148,"Autumn"
"105",2012,11,"Anniversary Trail No.2 Kew",128.233333333333,"Spring"
"106",2010,6,"Scotchmans Creek Trail",128.310344827586,"Winter"
"107",2007,10,"Anniversary Trail No.2 Kew",128.75,"Spring"
"108",2011,6,"Scotchmans Creek Trail",129.689655172414,"Winter"
"109",2012,8,"Scotchmans Creek Trail",133.433333333333,"Winter"
"110",2008,11,"Anniversary Trail No.2 Kew",133.533333333333,"Spring"
"111",2011,2,"Anniversary Trail No.2 Kew",133.777777777778,"Summer"
"112",2010,7,"Scotchmans Creek Trail",134.612903225806,"Winter"
"113",2011,3,"Anniversary Trail No.2 Kew",135.241379310345,"Autumn"
"114",2012,6,"Scotchmans Creek Trail",135.8,"Winter"
"115",2009,1,"Anniversary Trail No.2 Kew",136.290322580645,"Summer"
"116",2011,11,"Anniversary Trail No.2 Kew",138.333333333333,"Spring"
"117",2009,8,"Scotchmans Creek Trail",138.766666666667,"Winter"
"118",2012,5,"Scotchmans Creek Trail",139.8,"Autumn"
"119",2012,10,"Anniversary Trail No.2 Kew",140.192307692308,"Spring"
"120",2009,5,"Scotchmans Creek Trail",140.677419354839,"Autumn"
"121",2008,2,"Anniversary Trail No.2 Kew",141.214285714286,"Summer"
"122",2012,3,"Anniversary Trail No.2 Kew",142.111111111111,"Autumn"
"123",2009,3,"Anniversary Trail No.2 Kew",143.387096774194,"Autumn"
"124",2012,2,"Anniversary Trail No.2 Kew",147.928571428571,"Summer"
"125",2009,9,"Scotchmans Creek Trail",148.066666666667,"Spring"
"126",2010,9,"Scotchmans Creek Trail",148.172413793103,"Spring"
"127",2008,10,"Anniversary Trail No.2 Kew",149.827586206897,"Spring"
"128",2009,2,"Anniversary Trail No.2 Kew",152.37037037037,"Summer"
"129",2010,5,"Scotchmans Creek Trail",154.516129032258,"Autumn"
"130",2013,1,"Phillip Island Rd Path, Bass Coast Shire",160.761904761905,"Summer"
"131",2007,5,"Scotchmans Creek Trail",161.354838709677,"Autumn"
"132",2006,6,"St Georges Road No.2",163.363636363636,"Winter"
"133",2010,12,"Scotchmans Creek Trail",164.833333333333,"Summer"
"134",2008,12,"Scotchmans Creek Trail",165.366666666667,"Summer"
"135",2007,7,"St Georges Road No.2",165.774193548387,"Winter"
"136",2007,6,"St Georges Road No.2",166.241379310345,"Winter"
"137",2012,12,"Scotchmans Creek Trail",167.2,"Summer"
"138",2011,8,"Scotchmans Creek Trail",167.833333333333,"Winter"
"139",2011,9,"Scotchmans Creek Trail",169.533333333333,"Spring"
"140",2010,10,"Scotchmans Creek Trail",170.964285714286,"Spring"
"141",2009,12,"Scotchmans Creek Trail",171.838709677419,"Summer"
"142",2006,9,"St Georges Road No.2",174.666666666667,"Spring"
"143",2007,7,"Scotchmans Creek Trail",175.444444444444,"Winter"
"144",2012,4,"Scotchmans Creek Trail",178.586206896552,"Autumn"
"145",2009,4,"Scotchmans Creek Trail",178.62962962963,"Autumn"
"146",2011,12,"Scotchmans Creek Trail",178.866666666667,"Summer"
"147",2010,4,"Scotchmans Creek Trail",178.884615384615,"Autumn"
"148",2006,12,"Scotchmans Creek Trail",179,"Summer"
"149",2012,9,"Scotchmans Creek Trail",179.066666666667,"Spring"
"150",2011,4,"Scotchmans Creek Trail",179.481481481481,"Autumn"
"151",2010,5,"Main Yarra Trail No.1",180.870967741935,"Autumn"
"152",2010,11,"Scotchmans Creek Trail",181.266666666667,"Spring"
"153",2008,9,"Scotchmans Creek Trail",182.275862068966,"Spring"
"154",2009,11,"Scotchmans Creek Trail",182.6,"Spring"
"155",2006,5,"Anniversary Trail No.1",183.548387096774,"Autumn"
"156",2006,7,"Anniversary Trail No.1",184.6,"Winter"
"157",2009,10,"Scotchmans Creek Trail",185.285714285714,"Spring"
"158",2010,6,"Main Yarra Trail No.1",189.275862068966,"Winter"
"159",2011,10,"Scotchmans Creek Trail",190.733333333333,"Spring"
"160",2007,11,"Scotchmans Creek Trail",192.035714285714,"Spring"
"161",2010,6,"Anniversary Trail No.1",192.241379310345,"Winter"
"162",2006,11,"Scotchmans Creek Trail",193.3,"Spring"
"163",2006,12,"St Georges Road No.2",194.58064516129,"Summer"
"164",2007,7,"Anniversary Trail No.1",195.483870967742,"Winter"
"165",2011,5,"Anniversary Trail No.1",196.290322580645,"Autumn"
"166",2011,11,"Scotchmans Creek Trail",196.466666666667,"Spring"
"167",2012,11,"Scotchmans Creek Trail",196.866666666667,"Spring"
"168",2010,8,"Anniversary Trail No.1",198.1,"Winter"
"169",2007,6,"Anniversary Trail No.1",199.206896551724,"Winter"
"170",2011,2,"Scotchmans Creek Trail",199.296296296296,"Summer"
"171",2008,11,"Scotchmans Creek Trail",200.366666666667,"Spring"
"172",2011,1,"Scotchmans Creek Trail",201.645161290323,"Summer"
"173",2007,12,"Scotchmans Creek Trail",201.818181818182,"Summer"
"174",2007,12,"St Georges Road No.2",203.833333333333,"Summer"
"175",2011,7,"Anniversary Trail No.1",204.451612903226,"Winter"
"176",2006,10,"Scotchmans Creek Trail",205,"Spring"
"177",2012,3,"Scotchmans Creek Trail",205.259259259259,"Autumn"
"178",2012,1,"Scotchmans Creek Trail",205.967741935484,"Summer"
"179",2006,4,"Main Yarra Trail No.1",207,"Autumn"
"180",2009,1,"Scotchmans Creek Trail",207.290322580645,"Summer"
"181",2007,9,"St Georges Road No.2",207.433333333333,"Spring"
"182",2008,7,"Anniversary Trail No.1",209.806451612903,"Winter"
"183",2007,10,"Scotchmans Creek Trail",209.925925925926,"Spring"
"184",2007,6,"Scotchmans Creek Trail",210.464285714286,"Winter"
"185",2007,2,"Scotchmans Creek Trail",210.571428571429,"Summer"
"186",2007,8,"Scotchmans Creek Trail",210.724137931034,"Winter"
"187",2008,10,"Scotchmans Creek Trail",210.793103448276,"Spring"
"188",2007,3,"Scotchmans Creek Trail",211.666666666667,"Autumn"
"189",2010,8,"Main Yarra Trail No.1",212.033333333333,"Winter"
"190",2009,3,"Scotchmans Creek Trail",212.290322580645,"Autumn"
"191",2012,10,"Scotchmans Creek Trail",212.769230769231,"Spring"
"192",2008,6,"Anniversary Trail No.1",212.793103448276,"Winter"
"193",2007,8,"St Georges Road No.2",213.166666666667,"Winter"
"194",2008,7,"Main Yarra Trail No.1",214.41935483871,"Winter"
"195",2007,1,"Scotchmans Creek Trail",214.666666666667,"Summer"
"196",2011,3,"Scotchmans Creek Trail",214.903225806452,"Autumn"
"197",2010,4,"Main Yarra Trail No.1",215.769230769231,"Autumn"
"198",2008,8,"Anniversary Trail No.1",215.806451612903,"Winter"
"199",2006,6,"Anniversary Trail No.1",217.51724137931,"Winter"
"200",2010,7,"Anniversary Trail No.1",218.096774193548,"Winter"
"201",2008,5,"Anniversary Trail No.1",218.466666666667,"Autumn"
"202",2005,12,"Anniversary Trail No.1",219.3,"Summer"
"203",2010,9,"Anniversary Trail No.1",219.3,"Spring"
"204",2007,9,"Scotchmans Creek Trail",219.633333333333,"Spring"
"205",2010,3,"Scotchmans Creek Trail",220.793103448276,"Autumn"
"206",2007,5,"Anniversary Trail No.1",221,"Autumn"
"207",2009,6,"Anniversary Trail No.1",221.448275862069,"Winter"
"208",2012,5,"Anniversary Trail No.1",221.9,"Autumn"
"209",2007,1,"St Georges Road No.2",222.066666666667,"Summer"
"210",2007,4,"Scotchmans Creek Trail",222.5,"Autumn"
"211",2010,7,"Main Yarra Trail No.1",223.548387096774,"Winter"
"212",2007,7,"Main Yarra Trail No.1",223.645161290323,"Winter"
"213",2011,6,"Anniversary Trail No.1",225.034482758621,"Winter"
"214",2010,3,"Main Yarra Trail No.1",225.612903225806,"Autumn"
"215",2011,7,"Merri Creek Trail, Moreland City",226.129032258065,"Winter"
"216",2006,11,"St Georges Road No.2",228,"Spring"
"217",2010,1,"Scotchmans Creek Trail",228.037037037037,"Summer"
"218",2012,6,"Anniversary Trail No.1",228.333333333333,"Winter"
"219",2012,7,"Anniversary Trail No.1",229.741935483871,"Winter"
"220",2010,12,"Flemington Rd NW Bound Lane",229.97619047619,"Summer"
"221",2010,12,"Flemington Rd SE Bound Lane",229.97619047619,"Summer"
"222",2007,5,"St Georges Road No.2",230.064516129032,"Autumn"
"223",2012,8,"Anniversary Trail No.1",231.033333333333,"Winter"
"224",2009,6,"Main Yarra Trail No.1",231.724137931034,"Winter"
"225",2012,2,"Scotchmans Creek Trail",233.607142857143,"Summer"
"226",2007,8,"Anniversary Trail No.1",234.133333333333,"Winter"
"227",2009,2,"Scotchmans Creek Trail",234.333333333333,"Summer"
"228",2006,8,"Anniversary Trail No.1",235.41935483871,"Winter"
"229",2009,7,"Anniversary Trail No.1",235.645161290323,"Winter"
"230",2009,7,"Main Yarra Trail No.1",236.193548387097,"Winter"
"231",2008,7,"St Georges Road No.2",237.806451612903,"Winter"
"232",2009,8,"Anniversary Trail No.1",237.866666666667,"Winter"
"233",2006,9,"Anniversary Trail No.1",240.4,"Spring"
"234",2008,8,"St Georges Road No.2",240.483870967742,"Winter"
"235",2006,4,"Anniversary Trail No.1",242.071428571429,"Autumn"
"236",2007,6,"Main Yarra Trail No.1",242.304347826087,"Winter"
"237",2009,9,"Anniversary Trail No.1",242.9,"Spring"
"238",2010,2,"Scotchmans Creek Trail",243.678571428571,"Summer"
"239",2006,10,"St Georges Road No.2",244.466666666667,"Spring"
"240",2007,4,"St Georges Road No.2",246.933333333333,"Autumn"
"241",2010,5,"Anniversary Trail No.1",248.387096774194,"Autumn"
"242",2011,1,"Flemington Rd NW Bound Lane",249.467741935484,"Summer"
"243",2011,1,"Flemington Rd SE Bound Lane",249.467741935484,"Summer"
"244",2008,6,"St Georges Road No.2",249.655172413793,"Winter"
"245",2008,1,"Scotchmans Creek Trail",249.913043478261,"Summer"
"246",2008,8,"Main Yarra Trail No.1",252.41935483871,"Winter"
"247",2011,8,"Anniversary Trail No.1",253.433333333333,"Winter"
"248",2011,7,"Brighton Rd N Bound Lane",254.177419354839,"Winter"
"249",2011,7,"Brighton Rd S Bound Lane",254.177419354839,"Winter"
"250",2011,7,"Flemington Rd NW Bound Lane",254.370967741935,"Winter"
"251",2011,7,"Flemington Rd SE Bound Lane",254.370967741935,"Winter"
"252",2009,5,"Anniversary Trail No.1",255.193548387097,"Autumn"
"253",2008,6,"Main Yarra Trail No.1",255.448275862069,"Winter"
"254",2010,12,"Anniversary Trail No.1",256.066666666667,"Summer"
"255",2011,9,"Anniversary Trail No.1",256.4,"Spring"
"256",2008,1,"St Georges Road No.2",260,"Summer"
"257",2011,4,"Brighton Rd N Bound Lane",260.409090909091,"Autumn"
"258",2011,4,"Brighton Rd S Bound Lane",260.409090909091,"Autumn"
"259",2010,9,"Main Yarra Trail No.1",262.379310344828,"Spring"
"260",2012,7,"Brighton Rd N Bound Lane",263.95,"Winter"
"261",2012,7,"Brighton Rd S Bound Lane",263.95,"Winter"
"262",2007,3,"St Georges Road No.2",264.766666666667,"Autumn"
"263",2007,12,"Anniversary Trail No.1",266.8,"Summer"
"264",2012,6,"Merri Creek Trail, Moreland City",267.1,"Winter"
"265",2007,10,"St Georges Road No.2",267.9,"Spring"
"266",2008,12,"St Georges Road No.2",268.5,"Summer"
"267",2012,7,"Merri Creek Trail, Moreland City",269.806451612903,"Winter"
"268",2011,12,"Flemington Rd NW Bound Lane",270.633333333333,"Summer"
"269",2011,12,"Flemington Rd SE Bound Lane",270.633333333333,"Summer"
"270",2010,11,"Anniversary Trail No.1",270.7,"Spring"
"271",2006,12,"Anniversary Trail No.1",270.806451612903,"Summer"
"272",2006,3,"Anniversary Trail No.1",270.866666666667,"Autumn"
"273",2012,1,"Flemington Rd NW Bound Lane",271.435483870968,"Summer"
"274",2012,1,"Flemington Rd SE Bound Lane",271.435483870968,"Summer"
"275",2007,11,"St Georges Road No.2",272.433333333333,"Spring"
"276",2009,8,"Main Yarra Trail No.1",273.51724137931,"Winter"
"277",2012,8,"Brighton Rd N Bound Lane",274.133333333333,"Winter"
"278",2012,8,"Brighton Rd S Bound Lane",274.133333333333,"Winter"
"279",2011,2,"Anniversary Trail No.1",274.814814814815,"Summer"
"280",2011,6,"Flemington Rd NW Bound Lane",275.068965517241,"Winter"
"281",2011,6,"Flemington Rd SE Bound Lane",275.068965517241,"Winter"
"282",2012,6,"Brighton Rd N Bound Lane",275.442307692308,"Winter"
"283",2012,6,"Brighton Rd S Bound Lane",275.442307692308,"Winter"
"284",2006,11,"Anniversary Trail No.1",276.133333333333,"Spring"
"285",2008,3,"Anniversary Trail No.1",277.064516129032,"Autumn"
"286",2008,5,"Main Yarra Trail No.1",277.333333333333,"Autumn"
"287",2011,10,"Anniversary Trail No.1",282,"Spring"
"288",2011,12,"Anniversary Trail No.1",282.7,"Summer"
"289",2012,6,"Flemington Rd NW Bound Lane",283.538461538462,"Winter"
"290",2012,6,"Flemington Rd SE Bound Lane",283.538461538462,"Winter"
"291",2008,12,"Anniversary Trail No.1",284.133333333333,"Summer"
"292",2008,9,"St Georges Road No.2",285.034482758621,"Spring"
"293",2007,9,"Anniversary Trail No.1",285.466666666667,"Spring"
"294",2008,9,"Anniversary Trail No.1",285.620689655172,"Spring"
"295",2012,7,"Flemington Rd NW Bound Lane",285.661290322581,"Winter"
"296",2012,7,"Flemington Rd SE Bound Lane",285.661290322581,"Winter"
"297",2008,3,"St Georges Road No.2",285.774193548387,"Autumn"
"298",2007,11,"Anniversary Trail No.1",285.866666666667,"Spring"
"299",2009,8,"St Georges Road No.2",287.766666666667,"Winter"
"300",2012,9,"Brighton Rd N Bound Lane",289.95,"Spring"
"301",2012,9,"Brighton Rd S Bound Lane",289.95,"Spring"
"302",2007,2,"St Georges Road No.2",291.25,"Summer"
"303",2011,6,"Merri Creek Trail, Moreland City",291.285714285714,"Winter"
"304",2011,4,"Anniversary Trail No.1",292.074074074074,"Autumn"
"305",2012,5,"Merri Creek Trail, Moreland City",292.142857142857,"Autumn"
"306",2011,9,"Merri Creek Trail, Moreland City",293.642857142857,"Spring"
"307",2010,10,"Anniversary Trail No.1",294.033333333333,"Spring"
"308",2008,4,"Anniversary Trail No.1",295.310344827586,"Autumn"
"309",2009,12,"Anniversary Trail No.1",296.290322580645,"Summer"
"310",2009,11,"Anniversary Trail No.1",296.3,"Spring"
"311",2007,1,"Anniversary Trail No.1",296.566666666667,"Summer"
"312",2009,7,"St Georges Road No.2",296.935483870968,"Winter"
"313",2010,4,"Anniversary Trail No.1",297.923076923077,"Autumn"
"314",2011,4,"Flemington Rd NW Bound Lane",298.296296296296,"Autumn"
"315",2011,4,"Flemington Rd SE Bound Lane",298.296296296296,"Autumn"
"316",2009,9,"Main Yarra Trail No.1",298.333333333333,"Spring"
"317",2009,4,"Anniversary Trail No.1",298.518518518519,"Autumn"
"318",2012,12,"Anniversary Trail No.1",299,"Summer"
"319",2009,10,"Anniversary Trail No.1",299.571428571429,"Spring"
"320",2008,5,"St Georges Road No.2",301.033333333333,"Autumn"
"321",2007,2,"Anniversary Trail No.1",301.178571428571,"Summer"
"322",2011,11,"Anniversary Trail No.1",301.433333333333,"Spring"
"323",2012,9,"Anniversary Trail No.1",301.666666666667,"Spring"
"324",2011,9,"Flemington Rd NW Bound Lane",302.2,"Spring"
"325",2011,9,"Flemington Rd SE Bound Lane",302.2,"Spring"
"326",2009,6,"St Georges Road No.2",303.896551724138,"Winter"
"327",2011,5,"Flemington Rd NW Bound Lane",304.032258064516,"Autumn"
"328",2011,5,"Flemington Rd SE Bound Lane",304.032258064516,"Autumn"
"329",2007,10,"Anniversary Trail No.1",304.586206896552,"Spring"
"330",2006,1,"Anniversary Trail No.1",304.724137931034,"Summer"
"331",2009,9,"St Georges Road No.2",305.766666666667,"Spring"
"332",2012,8,"Merri Creek Trail, Moreland City",306.814814814815,"Winter"
"333",2006,2,"Anniversary Trail No.1",307.285714285714,"Summer"
"334",2011,3,"Anniversary Trail No.1",307.689655172414,"Autumn"
"335",2011,6,"Brighton Rd N Bound Lane",308.327586206897,"Winter"
"336",2011,6,"Brighton Rd S Bound Lane",308.327586206897,"Winter"
"337",2007,8,"Main Yarra Trail No.1",308.466666666667,"Winter"
"338",2011,8,"Merri Creek Trail, Moreland City",309.096774193548,"Winter"
"339",2008,11,"Anniversary Trail No.1",310.133333333333,"Spring"
"340",2010,3,"Anniversary Trail No.1",310.931034482759,"Autumn"
"341",2007,3,"Anniversary Trail No.1",310.933333333333,"Autumn"
"342",2011,8,"Flemington Rd NW Bound Lane",311.133333333333,"Winter"
"343",2011,8,"Flemington Rd SE Bound Lane",311.133333333333,"Winter"
"344",2011,12,"Brighton Rd N Bound Lane",311.633333333333,"Summer"
"345",2011,12,"Brighton Rd S Bound Lane",311.633333333333,"Summer"
"346",2011,11,"Flemington Rd NW Bound Lane",311.8,"Spring"
"347",2011,11,"Flemington Rd SE Bound Lane",311.8,"Spring"
"348",2012,4,"Anniversary Trail No.1",312,"Autumn"
"349",2011,7,"Albert St E Bound Lane, Melbourne City",312.193548387097,"Winter"
"350",2011,7,"Albert St W Bound Lane, Melbourne City",312.193548387097,"Winter"
"351",2009,5,"Main Yarra Trail No.1",313.612903225806,"Autumn"
"352",2010,8,"St Georges Road No.2",314.3,"Winter"
"353",2011,9,"Brighton Rd N Bound Lane",315.733333333333,"Spring"
"354",2011,9,"Brighton Rd S Bound Lane",315.733333333333,"Spring"
"355",2006,10,"Anniversary Trail No.1",316.066666666667,"Spring"
"356",2008,2,"St Georges Road No.2",317.964285714286,"Summer"
"357",2011,10,"Flemington Rd NW Bound Lane",318.303571428571,"Spring"
"358",2011,10,"Flemington Rd SE Bound Lane",318.303571428571,"Spring"
"359",2011,10,"Merri Creek Trail, Moreland City",318.818181818182,"Spring"
"360",2011,8,"Brighton Rd N Bound Lane",319.216666666667,"Winter"
"361",2011,8,"Brighton Rd S Bound Lane",319.216666666667,"Winter"
"362",2009,1,"St Georges Road No.2",319.548387096774,"Summer"
"363",2010,2,"Anniversary Trail No.1",319.928571428571,"Summer"
"364",2012,8,"Flemington Rd NW Bound Lane",320.433333333333,"Winter"
"365",2012,8,"Flemington Rd SE Bound Lane",320.433333333333,"Winter"
"366",2012,12,"Flemington Rd NW Bound Lane",321.111111111111,"Summer"
"367",2012,12,"Flemington Rd SE Bound Lane",321.111111111111,"Summer"
"368",2006,5,"Koonung Trail, Balwyn North",321.58064516129,"Autumn"
"369",2012,4,"Flemington Rd NW Bound Lane",321.692307692308,"Autumn"
"370",2012,4,"Flemington Rd SE Bound Lane",321.692307692308,"Autumn"
"371",2012,4,"Brighton Rd N Bound Lane",322.018518518519,"Autumn"
"372",2012,4,"Brighton Rd S Bound Lane",322.018518518519,"Autumn"
"373",2008,11,"St Georges Road No.2",322.333333333333,"Spring"
"374",2012,11,"Anniversary Trail No.1",322.866666666667,"Spring"
"375",2011,7,"St Georges Road No.2",323.032258064516,"Winter"
"376",2010,12,"St Georges Road No.2",323.366666666667,"Summer"
"377",2012,1,"Brighton Rd N Bound Lane",323.387096774194,"Summer"
"378",2012,1,"Brighton Rd S Bound Lane",323.387096774194,"Summer"
"379",2009,3,"Anniversary Trail No.1",323.806451612903,"Autumn"
"380",2006,7,"Koonung Trail, Balwyn North",324,"Winter"
"381",2011,1,"Anniversary Trail No.1",325.032258064516,"Summer"
"382",2012,1,"Anniversary Trail No.1",325.290322580645,"Summer"
"383",2010,2,"Main Yarra Trail No.1",325.821428571429,"Summer"
"384",2008,1,"Anniversary Trail No.1",326.483870967742,"Summer"
"385",2009,1,"Anniversary Trail No.1",327.838709677419,"Summer"
"386",2012,3,"Anniversary Trail No.1",328.851851851852,"Autumn"
"387",2011,5,"Brighton Rd N Bound Lane",329.322580645161,"Autumn"
